,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
463,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,2009-06-19,2015-09-21,2009,2
464,Cooperative Bank,Wilmington,NC,27837,First Bank,2009-06-19,2012-08-17,2009,2
465,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,2009-06-19,2015-09-21,2009,2
466,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,2009-06-05,2012-08-17,2009,2
467,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,2009-05-22,2012-09-04,2009,2
468,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,2009-05-22,2012-09-04,2009,2
469,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,2009-05-21,2012-08-17,2009,2
470,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,2009-05-08,2012-09-04,2009,2
471,America West Bank,Layton,UT,35461,Cache Valley Bank,2009-05-01,2012-08-17,2009,2
472,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,2009-05-01,2012-09-04,2009,2
473,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,2009-05-01,2012-08-17,2009,2
474,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",2009-04-24,2012-08-17,2009,2
475,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,2009-04-24,2012-09-04,2009,2
476,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,2009-04-24,2012-08-17,2009,2
477,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,2009-04-24,2012-08-17,2009,2
478,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,2009-04-17,2012-09-04,2009,2
479,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,2009-04-17,2012-08-31,2009,2
480,New Frontier Bank,Greeley,CO,34881,No Acquirer,2009-04-10,2012-09-04,2009,2
481,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,2009-04-10,2017-04-10,2009,2
482,Omni National Bank,Atlanta,GA,22238,No Acquirer,2009-03-27,2012-08-17,2009,1
483,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,2009-03-20,2016-09-12,2009,1
484,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,2009-03-20,2016-12-12,2009,1
485,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,2009-03-20,2012-08-17,2009,1
486,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,2009-03-06,2012-08-17,2009,1
487,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,2009-02-27,2012-09-07,2009,1
488,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.",2009-02-27,2012-08-17,2009,1
489,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,2009-02-20,2012-08-17,2009,1
490,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,2009-02-13,2015-12-07,2009,1
491,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,2009-02-13,2012-08-17,2009,1
492,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,2009-02-13,2012-08-17,2009,1
493,Sherman County Bank,Loup City,NE,5431,Heritage Bank,2009-02-13,2012-08-17,2009,1
